#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1905.20   -0.170852    0.023007   -0.070760    0.022130  99.9900000  99.9900000    0.238337    0.000000    0.016580    0.000000
   1905.25   -0.180580    0.018235   -0.062141    0.018213  99.9900000  99.9900000    0.239113    0.000000    0.015690    0.000000
   1905.30   -0.171592    0.023233   -0.023499    0.023529  99.9900000  99.9900000    0.238978    0.000000    0.015184    0.000000
   1905.35   -0.196010    0.019238    0.044284    0.019691  99.9900000  99.9900000    0.238697    0.000000    0.014534    0.000000
   1905.40   -0.159987    0.019621    0.077361    0.020542  99.9900000  99.9900000    0.237570    0.000000    0.014650    0.000000
   1905.45   -0.152896    0.020041    0.123607    0.021427  99.9900000  99.9900000    0.235537    0.000000    0.015675    0.000000
   1905.50   -0.110410    0.018161    0.156574    0.021271  99.9900000  99.9900000    0.232664    0.000000    0.015305    0.000000
   1905.55   -0.056566    0.017771    0.176971    0.018963  99.9900000  99.9900000    0.230244    0.000000    0.015220    0.000000
   1905.60   -0.004122    0.018403    0.204665    0.019329  99.9900000  99.9900000    0.227508    0.000000    0.015461    0.000000
   1905.65    0.038206    0.017989    0.194052    0.018141  99.9900000  99.9900000    0.225441    0.000000    0.015593    0.000000
   1905.70    0.075165    0.017609    0.177143    0.018664  99.9900000  99.9900000    0.225980    0.000000    0.015683    0.000000
   1905.75    0.089666    0.022706    0.174365    0.017068  99.9900000  99.9900000    0.226112    0.000000    0.016374    0.000000
   1905.80    0.108806    0.025742    0.144283    0.025076  99.9900000  99.9900000    0.227904    0.000000    0.016432    0.000000
   1905.85    0.149479    0.023280    0.120578    0.020276  99.9900000  99.9900000    0.229854    0.000000    0.017517    0.000000
   1905.90    0.142780    0.024965    0.083212    0.020218  99.9900000  99.9900000    0.231289    0.000000    0.018771    0.000000
   1905.95    0.133355    0.024033    0.061646    0.025297  99.9900000  99.9900000    0.232440    0.000000    0.019292    0.000000
