#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1908.60    0.107898    0.014253   -0.142566    0.017722  99.9900000  99.9900000   -0.086378    0.000000   -0.020131    0.000000
   1908.65    0.055419    0.013924   -0.182147    0.015617  99.9900000  99.9900000   -0.086025    0.000000   -0.020301    0.000000
   1908.70   -0.006802    0.014573   -0.171790    0.013946  99.9900000  99.9900000   -0.085903    0.000000   -0.020802    0.000000
   1908.75   -0.062119    0.013913   -0.178735    0.014407  99.9900000  99.9900000   -0.086421    0.000000   -0.021294    0.000000
   1908.80   -0.121188    0.013589   -0.143228    0.015109  99.9900000  99.9900000   -0.087060    0.000000   -0.022108    0.000000
   1908.85   -0.198859    0.020552   -0.118751    0.017931  99.9900000  99.9900000   -0.087802    0.000000   -0.023153    0.000000
   1908.90   -0.257304    0.018707   -0.059744    0.017970  99.9900000  99.9900000   -0.088432    0.000000   -0.023897    0.000000
   1908.95   -0.280150    0.025857   -0.002831    0.018203  99.9900000  99.9900000   -0.088874    0.000000   -0.024502    0.000000
   1909.00   -0.308600    0.026386    0.086948    0.022224  99.9900000  99.9900000   -0.089130    0.000000   -0.024708    0.000000
   1909.05   -0.341620    0.019598    0.134833    0.020705  99.9900000  99.9900000   -0.089294    0.000000   -0.024555    0.000000
   1909.10   -0.251371    0.031080    0.177515    0.021242  99.9900000  99.9900000   -0.089417    0.000000   -0.024098    0.000000
   1909.15   -0.246487    0.026749    0.259102    0.023853  99.9900000  99.9900000   -0.089598    0.000000   -0.023113    0.000000
   1909.20   -0.210297    0.025755    0.316677    0.021167  99.9900000  99.9900000   -0.089973    0.000000   -0.022138    0.000000
   1909.25   -0.111999    0.020248    0.334621    0.014937  99.9900000  99.9900000   -0.090321    0.000000   -0.021432    0.000000
   1909.30   -0.048985    0.016900    0.365463    0.016351  99.9900000  99.9900000   -0.090599    0.000000   -0.020852    0.000000
   1909.35    0.031772    0.016586    0.354454    0.015842  99.9900000  99.9900000   -0.090477    0.000000   -0.020648    0.000000
