LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_1,ocean_mean_trend_step_2,ocean_mean_trend_step_3,ocean_mean_trend_step_4,ocean_mean_trend_step_5
True,mean,False,lower,,,QL6,GFZ,0.15,0.26,short-term,1.85713,1.928034,2.146071,2.172695,2.440254
True,mean,False,lower,,,QL6,JPL,0.15,0.26,short-term,1.924758,1.995662,2.221694,2.257499,2.527804
True,mean,False,lower,,,QL6,CSR,0.15,0.26,short-term,1.856969,1.927873,2.150565,2.186286,2.458561
True,mean,False,lower,,,QL6,MSSA,0.15,0.26,short-term,1.94679,2.017694,2.282808,2.381203,2.488419
False,mean,False,upper,,,QL6,GFZ,0.15,0.26,short-term,1.879769,1.950955,2.144021,2.163706,2.427496
False,mean,False,upper,,,QL6,JPL,0.15,0.26,short-term,1.948227,2.019413,2.219928,2.249013,2.516721
False,mean,False,upper,,,QL6,CSR,0.15,0.26,short-term,1.879606,1.950792,2.148078,2.177902,2.448123
False,mean,False,upper,,,QL6,MSSA,0.15,0.26,short-term,1.970531,2.041717,2.276523,2.36852,2.474529
True,mean,False,upper,,,QL6,GFZ,0.15,0.26,short-term,1.886454,1.957358,2.14767,2.166039,2.428952
True,mean,False,upper,,,QL6,JPL,0.15,0.26,short-term,1.95515,2.026054,2.223647,2.251295,2.517975
True,mean,False,upper,,,QL6,CSR,0.15,0.26,short-term,1.886291,1.957195,2.151621,2.180331,2.449585
True,mean,False,upper,,,QL6,MSSA,0.15,0.26,short-term,1.97753,2.048434,2.279993,2.370676,2.475251
False,mean,False,mean,,,QL6,GFZ,0.1,0.26,short-term,1.865566,1.936648,2.183147,2.21341,2.470602
False,mean,False,mean,,,QL6,JPL,0.1,0.26,short-term,1.933507,2.004589,2.25917,2.299768,2.559494
False,mean,False,mean,,,QL6,CSR,0.1,0.26,short-term,1.865404,1.936486,2.187877,2.228854,2.490729
False,mean,False,mean,,,QL6,MSSA,0.1,0.26,short-term,1.955641,2.026723,2.328398,2.430914,2.52129
True,mean,False,mean,,,QL6,GFZ,0.1,0.26,short-term,1.873194,1.943993,2.186358,2.214838,2.468742
True,mean,False,mean,,,QL6,JPL,0.1,0.26,short-term,1.941407,2.012206,2.262459,2.301045,2.558578
True,mean,False,mean,,,QL6,CSR,0.1,0.26,short-term,1.873032,1.94383,2.191026,2.23036,2.490504
True,mean,False,mean,,,QL6,MSSA,0.1,0.26,short-term,1.963629,2.034428,2.331248,2.432372,2.520493
False,mean,False,lower,,,QL6,GFZ,0.1,0.26,short-term,1.848995,1.920076,2.184936,2.219671,2.478072
False,mean,False,lower,,,QL6,JPL,0.1,0.26,short-term,1.916332,1.987414,2.260735,2.305596,2.56641
False,mean,False,lower,,,QL6,CSR,0.1,0.26,short-term,1.848834,1.919916,2.190002,2.235535,2.498074
False,mean,False,lower,,,QL6,MSSA,0.1,0.26,short-term,1.93827,2.009352,2.33354,2.440655,2.53208
True,mean,False,lower,,,QL6,GFZ,0.1,0.26,short-term,1.85713,1.927928,2.188414,2.221545,2.475887
True,mean,False,lower,,,QL6,JPL,0.1,0.26,short-term,1.924758,1.995557,2.264307,2.307445,2.565538
True,mean,False,lower,,,QL6,CSR,0.1,0.26,short-term,1.856969,1.927768,2.19338,2.237424,2.498784
True,mean,False,lower,,,QL6,MSSA,0.1,0.26,short-term,1.94679,2.017588,2.336479,2.441796,2.530795
False,mean,False,upper,,,QL6,GFZ,0.1,0.26,short-term,1.879769,1.950851,2.179666,2.205872,2.461406
False,mean,False,upper,,,QL6,JPL,0.1,0.26,short-term,1.948227,2.019309,2.255869,2.291936,2.549797
False,mean,False,upper,,,QL6,CSR,0.1,0.26,short-term,1.879606,1.950688,2.184146,2.220233,2.48069
False,mean,False,upper,,,QL6,MSSA,0.1,0.26,short-term,1.970531,2.041612,2.32171,2.419851,2.509322
True,mean,False,upper,,,QL6,GFZ,0.1,0.26,short-term,1.886454,1.957253,2.182217,2.206447,2.459882
True,mean,False,upper,,,QL6,JPL,0.1,0.26,short-term,1.95515,2.025949,2.258438,2.29259,2.548525
True,mean,False,upper,,,QL6,CSR,0.1,0.26,short-term,1.886291,1.95709,2.186556,2.221025,2.479493
True,mean,False,upper,,,QL6,MSSA,0.1,0.26,short-term,1.97753,2.048328,2.323854,2.419954,2.507391
False,mean,False,mean,,,QL6,GFZ,0.2,0.26,short-term,1.865566,1.936853,2.116082,2.134435,2.404119
False,mean,False,mean,,,QL6,JPL,0.2,0.26,short-term,1.933507,2.004794,2.191501,2.217711,2.489557
False,mean,False,mean,,,QL6,CSR,0.2,0.26,short-term,1.865404,1.936691,2.120029,2.148112,2.424572
False,mean,False,mean,,,QL6,MSSA,0.2,0.26,short-term,1.955641,2.026929,2.24347,2.332599,2.451493
True,mean,False,mean,,,QL6,GFZ,0.2,0.26,short-term,1.873194,1.9442,2.121394,2.138418,2.407763
True,mean,False,mean,,,QL6,JPL,0.2,0.26,short-term,1.941407,2.012413,2.196978,2.222403,2.493963
True,mean,False,mean,,,QL6,CSR,0.2,0.26,short-term,1.873032,1.944038,2.125307,2.152685,2.428529
True,mean,False,mean,,,QL6,MSSA,0.2,0.26,short-term,1.963629,2.034635,2.248821,2.336723,2.454404
False,mean,False,lower,,,QL6,GFZ,0.2,0.26,short-term,1.848995,1.920282,2.111004,2.133189,2.405293
False,mean,False,lower,,,QL6,JPL,0.2,0.26,short-term,1.916332,1.987619,2.186165,2.215525,2.488995
False,mean,False,lower,,,QL6,CSR,0.2,0.26,short-term,1.848834,1.920122,2.115204,2.147259,2.425449
False,mean,False,lower,,,QL6,MSSA,0.2,0.26,short-term,1.93827,2.009557,2.239936,2.33256,2.453789
True,mean,False,lower,,,QL6,GFZ,0.2,0.26,short-term,1.85713,1.928136,2.116753,2.137544,2.408582
True,mean,False,lower,,,QL6,JPL,0.2,0.26,short-term,1.924758,1.995764,2.192099,2.220751,2.49374
True,mean,False,lower,,,QL6,CSR,0.2,0.26,short-term,1.856969,1.927975,2.1209,2.151486,2.429251
True,mean,False,lower,,,QL6,MSSA,0.2,0.26,short-term,1.94679,2.017796,2.24565,2.336851,2.457498
