LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
True,mean,False,upper,,,QM1,GFZ,0.2,0.26,short-term,2.445675
True,mean,False,upper,,,QM1,JPL,0.2,0.26,short-term,2.534206
True,mean,False,upper,,,QM1,CSR,0.2,0.26,short-term,2.467426
True,mean,False,upper,,,QM1,MSSA,0.2,0.26,short-term,2.489798
False,mean,False,mean,,,Resovsky,GFZ,0.15,0.26,short-term,2.442792
False,mean,False,mean,,,Resovsky,JPL,0.15,0.26,short-term,2.530189
False,mean,False,mean,,,Resovsky,CSR,0.15,0.26,short-term,2.464428
False,mean,False,mean,,,Resovsky,MSSA,0.15,0.26,short-term,2.488223
True,mean,False,mean,,,Resovsky,GFZ,0.15,0.26,short-term,2.444476
True,mean,False,mean,,,Resovsky,JPL,0.15,0.26,short-term,2.531945
True,mean,False,mean,,,Resovsky,CSR,0.15,0.26,short-term,2.465697
True,mean,False,mean,,,Resovsky,MSSA,0.15,0.26,short-term,2.488997
False,mean,False,lower,,,Resovsky,GFZ,0.15,0.26,short-term,2.446358
False,mean,False,lower,,,Resovsky,JPL,0.15,0.26,short-term,2.533208
False,mean,False,lower,,,Resovsky,CSR,0.15,0.26,short-term,2.46788
False,mean,False,lower,,,Resovsky,MSSA,0.15,0.26,short-term,2.494332
True,mean,False,lower,,,Resovsky,GFZ,0.15,0.26,short-term,2.448096
True,mean,False,lower,,,Resovsky,JPL,0.15,0.26,short-term,2.53501
True,mean,False,lower,,,Resovsky,CSR,0.15,0.26,short-term,2.469607
True,mean,False,lower,,,Resovsky,MSSA,0.15,0.26,short-term,2.494379
False,mean,False,upper,,,Resovsky,GFZ,0.15,0.26,short-term,2.437756
False,mean,False,upper,,,Resovsky,JPL,0.15,0.26,short-term,2.524192
False,mean,False,upper,,,Resovsky,CSR,0.15,0.26,short-term,2.459042
False,mean,False,upper,,,Resovsky,MSSA,0.15,0.26,short-term,2.481285
True,mean,False,upper,,,Resovsky,GFZ,0.15,0.26,short-term,2.437916
True,mean,False,upper,,,Resovsky,JPL,0.15,0.26,short-term,2.525579
True,mean,False,upper,,,Resovsky,CSR,0.15,0.26,short-term,2.460566
True,mean,False,upper,,,Resovsky,MSSA,0.15,0.26,short-term,2.480479
False,mean,False,mean,,,Resovsky,GFZ,0.1,0.26,short-term,2.471051
False,mean,False,mean,,,Resovsky,JPL,0.1,0.26,short-term,2.561554
False,mean,False,mean,,,Resovsky,CSR,0.1,0.26,short-term,2.492588
False,mean,False,mean,,,Resovsky,MSSA,0.1,0.26,short-term,2.517927
True,mean,False,mean,,,Resovsky,GFZ,0.1,0.26,short-term,2.4696
True,mean,False,mean,,,Resovsky,JPL,0.1,0.26,short-term,2.560676
True,mean,False,mean,,,Resovsky,CSR,0.1,0.26,short-term,2.491551
True,mean,False,mean,,,Resovsky,MSSA,0.1,0.26,short-term,2.516382
False,mean,False,lower,,,Resovsky,GFZ,0.1,0.26,short-term,2.477274
False,mean,False,lower,,,Resovsky,JPL,0.1,0.26,short-term,2.56822
False,mean,False,lower,,,Resovsky,CSR,0.1,0.26,short-term,2.498588
False,mean,False,lower,,,Resovsky,MSSA,0.1,0.26,short-term,2.52659
True,mean,False,lower,,,Resovsky,GFZ,0.1,0.26,short-term,2.476112
True,mean,False,lower,,,Resovsky,JPL,0.1,0.26,short-term,2.566928
True,mean,False,lower,,,Resovsky,CSR,0.1,0.26,short-term,2.497151
True,mean,False,lower,,,Resovsky,MSSA,0.1,0.26,short-term,2.523918
False,mean,False,upper,,,Resovsky,GFZ,0.1,0.26,short-term,2.462435
False,mean,False,upper,,,Resovsky,JPL,0.1,0.26,short-term,2.552988
False,mean,False,upper,,,Resovsky,CSR,0.1,0.26,short-term,2.484133
False,mean,False,upper,,,Resovsky,MSSA,0.1,0.26,short-term,2.508203
True,mean,False,upper,,,Resovsky,GFZ,0.1,0.26,short-term,2.460659
True,mean,False,upper,,,Resovsky,JPL,0.1,0.26,short-term,2.552782
True,mean,False,upper,,,Resovsky,CSR,0.1,0.26,short-term,2.482317
