LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
True,mean,True,lower,,,QM1,GFZ,0.2,0.26,short-term,2.354562
True,mean,True,lower,,,QM1,JPL,0.2,0.26,short-term,2.431755
True,mean,True,lower,,,QM1,CSR,0.2,0.26,short-term,2.368792
True,mean,True,lower,,,QM1,MSSA,0.2,0.26,short-term,2.379167
False,mean,True,upper,,,QM1,GFZ,0.2,0.26,short-term,2.341134
False,mean,True,upper,,,QM1,JPL,0.2,0.26,short-term,2.418284
False,mean,True,upper,,,QM1,CSR,0.2,0.26,short-term,2.35429
False,mean,True,upper,,,QM1,MSSA,0.2,0.26,short-term,2.367934
True,mean,True,upper,,,QM1,GFZ,0.2,0.26,short-term,2.343532
True,mean,True,upper,,,QM1,JPL,0.2,0.26,short-term,2.421122
True,mean,True,upper,,,QM1,CSR,0.2,0.26,short-term,2.357426
True,mean,True,upper,,,QM1,MSSA,0.2,0.26,short-term,2.370839
False,mean,True,mean,,,Resovsky,GFZ,0.15,0.26,short-term,2.336033
False,mean,True,mean,,,Resovsky,JPL,0.15,0.26,short-term,2.414477
False,mean,True,mean,,,Resovsky,CSR,0.15,0.26,short-term,2.349613
False,mean,True,mean,,,Resovsky,MSSA,0.15,0.26,short-term,2.363742
True,mean,True,mean,,,Resovsky,GFZ,0.15,0.26,short-term,2.33613
True,mean,True,mean,,,Resovsky,JPL,0.15,0.26,short-term,2.414719
True,mean,True,mean,,,Resovsky,CSR,0.15,0.26,short-term,2.350028
False,mean,True,lower,,,Resovsky,GFZ,0.15,0.26,short-term,2.340814
False,mean,True,lower,,,Resovsky,JPL,0.15,0.26,short-term,2.41907
False,mean,True,lower,,,Resovsky,CSR,0.15,0.26,short-term,2.355873
False,mean,True,lower,,,Resovsky,MSSA,0.15,0.26,short-term,2.367984
True,mean,True,lower,,,Resovsky,GFZ,0.15,0.26,short-term,2.341808
True,mean,True,lower,,,Resovsky,JPL,0.15,0.26,short-term,2.42067
True,mean,True,lower,,,Resovsky,CSR,0.15,0.26,short-term,2.356665
True,mean,True,lower,,,Resovsky,MSSA,0.15,0.26,short-term,2.368498
False,mean,True,upper,,,Resovsky,GFZ,0.15,0.26,short-term,2.328831
False,mean,True,upper,,,Resovsky,JPL,0.15,0.26,short-term,2.407776
False,mean,True,upper,,,Resovsky,CSR,0.15,0.26,short-term,2.342996
False,mean,True,upper,,,Resovsky,MSSA,0.15,0.26,short-term,2.358106
